Step,AgentID,X,Y,Velocity,Current_lane,Is_alive
6,10,2.9,150.0,[0.412 0.   ],1,True
6,11,0.0,150.0,[0.5 0. ],1,False
6,12,0.0,150.0,[0.5 0. ],1,False
6,13,0.0,150.0,[0.5 0. ],1,False
6,14,0.0,150.0,[0.5 0. ],1,False
6,15,0.0,150.0,[0.5 0. ],1,False
6,16,0.0,150.0,[0.5 0. ],1,False
6,17,0.0,150.0,[0.5 0. ],1,False
6,18,0.0,150.0,[0.5 0. ],1,False
6,19,0.0,150.0,[0.5 0. ],1,False
7,0,3.4,50.0,[0.329 0.   ],0,True
7,1,0.0,50.0,[0.5 0. ],0,False
7,2,0.0,50.0,[0.5 0. ],0,False
7,3,0.0,50.0,[0.5 0. ],0,False
7,4,0.0,50.0,[0.5 0. ],0,False
7,5,0.0,50.0,[0.5 0. ],0,False
7,6,0.0,50.0,[0.5 0. ],0,False
7,7,0.0,50.0,[0.5 0. ],0,False
7,8,0.0,50.0,[0.5 0. ],0,False
7,9,0.0,50.0,[0.5 0. ],0,False
7,10,3.4,150.0,[0.412 0.   ],1,True
7,11,0.0,150.0,[0.5 0. ],1,False
7,12,0.0,150.0,[0.5 0. ],1,False
7,13,0.0,150.0,[0.5 0. ],1,False
7,14,0.0,150.0,[0.5 0. ],1,False
7,15,0.0,150.0,[0.5 0. ],1,False
7,16,0.0,150.0,[0.5 0. ],1,False
7,17,0.0,150.0,[0.5 0. ],1,False
7,18,0.0,150.0,[0.5 0. ],1,False
7,19,0.0,150.0,[0.5 0. ],1,False
8,0,3.9,50.0,[0.329 0.   ],0,True
8,1,0.0,50.0,[0.5 0. ],0,False
8,2,0.0,50.0,[0.5 0. ],0,False
8,3,0.0,50.0,[0.5 0. ],0,False
8,4,0.0,50.0,[0.5 0. ],0,False
8,5,0.0,50.0,[0.5 0. ],0,False
8,6,0.0,50.0,[0.5 0. ],0,False
8,7,0.0,50.0,[0.5 0. ],0,False
8,8,0.0,50.0,[0.5 0. ],0,False
8,9,0.0,50.0,[0.5 0. ],0,False
8,10,3.9,150.0,[0.412 0.   ],1,True
8,11,0.0,150.0,[0.5 0. ],1,False
8,12,0.0,150.0,[0.5 0. ],1,False
8,13,0.0,150.0,[0.5 0. ],1,False
8,14,0.0,150.0,[0.5 0. ],1,False
8,15,0.0,150.0,[0.5 0. ],1,False
8,16,0.0,150.0,[0.5 0. ],1,False
8,17,0.0,150.0,[0.5 0. ],1,False
8,18,0.0,150.0,[0.5 0. ],1,False
8,19,0.0,150.0,[0.5 0. ],1,False
9,0,4.4,50.0,[0.329 0.   ],0,True
9,1,0.0,50.0,[0.5 0. ],0,False
9,2,0.0,50.0,[0.5 0. ],0,False
9,3,0.0,50.0,[0.5 0. ],0,False
9,4,0.0,50.0,[0.5 0. ],0,False
9,5,0.0,50.0,[0.5 0. ],0,False
9,6,0.0,50.0,[0.5 0. ],0,False
9,7,0.0,50.0,[0.5 0. ],0,False
9,8,0.0,50.0,[0.5 0. ],0,False
9,9,0.0,50.0,[0.5 0. ],0,False
9,10,4.4,150.0,[0.412 0.   ],1,True
9,11,0.0,150.0,[0.5 0. ],1,False
9,12,0.0,150.0,[0.5 0. ],1,False
9,13,0.0,150.0,[0.5 0. ],1,False
9,14,0.0,150.0,[0.5 0. ],1,False
9,15,0.0,150.0,[0.5 0. ],1,False
9,16,0.0,150.0,[0.5 0. ],1,False
9,17,0.0,150.0,[0.5 0. ],1,False
9,18,0.0,150.0,[0.5 0. ],1,False
9,19,0.0,150.0,[0.5 0. ],1,False
10,0,4.9,50.0,[0.329 0.   ],0,True
10,1,0.0,50.0,[0.5 0. ],0,False
10,2,0.0,50.0,[0.5 0. ],0,False
10,3,0.0,50.0,[0.5 0. ],0,False
10,4,0.0,50.0,[0.5 0. ],0,False
10,5,0.0,50.0,[0.5 0. ],0,False
10,6,0.0,50.0,[0.5 0. ],0,False
10,7,0.0,50.0,[0.5 0. ],0,False
10,8,0.0,50.0,[0.5 0. ],0,False
10,9,0.0,50.0,[0.5 0. ],0,False
10,10,4.9,150.0,[0.412 0.   ],1,True
10,11,0.0,150.0,[0.5 0. ],1,False
10,12,0.0,150.0,[0.5 0. ],1,False
10,13,0.0,150.0,[0.5 0. ],1,False
10,14,0.0,150.0,[0.5 0. ],1,False
10,15,0.0,150.0,[0.5 0. ],1,False
10,16,0.0,150.0,[0.5 0. ],1,False
10,17,0.0,150.0,[0.5 0. ],1,False
10,18,0.0,150.0,[0.5 0. ],1,False
10,19,0.0,150.0,[0.5 0. ],1,False
11,0,5.4,50.0,[0.329 0.   ],0,True
11,1,0.0,50.0,[0.5 0. ],0,False
11,2,0.0,50.0,[0.5 0. ],0,False
11,3,0.0,50.0,[0.5 0. ],0,False
11,4,0.0,50.0,[0.5 0. ],0,False
11,5,0.0,50.0,[0.5 0. ],0,False
11,6,0.0,50.0,[0.5 0. ],0,False
11,7,0.0,50.0,[0.5 0. ],0,False
11,8,0.0,50.0,[0.5 0. ],0,False
11,9,0.0,50.0,[0.5 0. ],0,False
11,10,5.4,150.0,[0.412 0.   ],1,True
11,11,0.0,150.0,[0.5 0. ],1,False
11,12,0.0,150.0,[0.5 0. ],1,False
11,13,0.0,150.0,[0.5 0. ],1,False
11,14,0.0,150.0,[0.5 0. ],1,False
11,15,0.0,150.0,[0.5 0. ],1,False
11,16,0.0,150.0,[0.5 0. ],1,False
11,17,0.0,150.0,[0.5 0. ],1,False
11,18,0.0,150.0,[0.5 0. ],1,False
11,19,0.0,150.0,[0.5 0. ],1,False
12,0,5.9,50.0,[0.329 0.   ],0,True
12,1,0.0,50.0,[0.5 0. ],0,False
12,2,0.0,50.0,[0.5 0. ],0,False
12,3,0.0,50.0,[0.5 0. ],0,False
12,4,0.0,50.0,[0.5 0. ],0,False
12,5,0.0,50.0,[0.5 0. ],0,False
12,6,0.0,50.0,[0.5 0. ],0,False
12,7,0.0,50.0,[0.5 0. ],0,False
12,8,0.0,50.0,[0.5 0. ],0,False
12,9,0.0,50.0,[0.5 0. ],0,False
12,10,5.9,150.0,[0.412 0.   ],1,True
12,11,0.0,150.0,[0.5 0. ],1,False
12,12,0.0,150.0,[0.5 0. ],1,False
12,13,0.0,150.0,[0.5 0. ],1,False
12,14,0.0,150.0,[0.5 0. ],1,False
12,15,0.0,150.0,[0.5 0. ],1,False
12,16,0.0,150.0,[0.5 0. ],1,False
12,17,0.0,150.0,[0.5 0. ],1,False
12,18,0.0,150.0,[0.5 0. ],1,False
12,19,0.0,150.0,[0.5 0. ],1,False
13,0,6.4,50.0,[0.329 0.   ],0,True
13,1,0.0,50.0,[0.5 0. ],0,False
13,2,0.0,50.0,[0.5 0. ],0,False
13,3,0.0,50.0,[0.5 0. ],0,False
13,4,0.0,50.0,[0.5 0. ],0,False
13,5,0.0,50.0,[0.5 0. ],0,False
13,6,0.0,50.0,[0.5 0. ],0,False
13,7,0.0,50.0,[0.5 0. ],0,False
13,8,0.0,50.0,[0.5 0. ],0,False
13,9,0.0,50.0,[0.5 0. ],0,False
13,10,6.4,150.0,[0.412 0.   ],1,True
13,11,0.0,150.0,[0.5 0. ],1,False
13,12,0.0,150.0,[0.5 0. ],1,False
