Step,AgentID,X,Y,Velocity,Current_lane,Is_alive
9,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
9,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
9,7,11.69269012252569,33.333333333333336,[1.29918779 0.        ],0,True
9,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
9,9,0.0,100.0,[1.37563433 0.        ],1,False
10,0,12.871033923783484,166.66666666666669,[1.28710339 0.        ],2,True
10,1,12.212915953915912,100.0,[1.2212916 0.       ],1,True
10,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
10,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
10,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
10,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
10,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
10,7,12.991877913917433,33.333333333333336,[1.29918779 0.        ],0,True
10,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
10,9,0.0,100.0,[1.37563433 0.        ],1,False
11,0,14.158137316161833,166.66666666666669,[1.28710339 0.        ],2,True
11,1,13.434207549307503,100.0,[1.2212916 0.       ],1,True
11,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
11,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
11,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
11,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
11,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
11,7,14.291065705309176,33.333333333333336,[1.29918779 0.        ],0,True
11,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
11,9,0.0,100.0,[1.37563433 0.        ],1,False
12,0,15.445240708540181,166.66666666666669,[1.28710339 0.        ],2,True
12,1,14.655499144699094,100.0,[1.2212916 0.       ],1,True
12,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
12,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
12,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
12,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
12,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
12,7,15.59025349670092,33.333333333333336,[1.29918779 0.        ],0,True
12,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
12,9,0.0,100.0,[1.37563433 0.        ],1,False
13,0,16.732344100918528,166.66666666666669,[1.28710339 0.        ],2,True
13,1,15.876790740090685,100.0,[1.2212916 0.       ],1,True
13,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
13,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
13,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
13,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
13,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
13,7,16.889441288092662,33.333333333333336,[1.29918779 0.        ],0,True
13,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
13,9,0.0,100.0,[1.37563433 0.        ],1,False
14,0,18.019447493296877,166.66666666666669,[1.28710339 0.        ],2,True
14,1,17.098082335482278,100.0,[1.2212916 0.       ],1,True
14,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
14,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
14,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
14,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
14,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
14,7,18.188629079484407,33.333333333333336,[1.29918779 0.        ],0,True
14,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
14,9,0.0,100.0,[1.37563433 0.        ],1,False
15,0,19.306550885675225,166.66666666666669,[1.28710339 0.        ],2,True
15,1,18.31937393087387,100.0,[1.2212916 0.       ],1,True
15,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
15,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
15,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
15,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
15,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
15,7,19.487816870876152,33.333333333333336,[1.29918779 0.        ],0,True
15,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
15,9,0.0,100.0,[1.37563433 0.        ],1,False
16,0,20.593654278053574,166.66666666666669,[1.28710339 0.        ],2,True
16,1,19.54066552626546,100.0,[1.2212916 0.       ],1,True
16,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
16,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
16,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
16,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
16,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
16,7,20.787004662267897,33.333333333333336,[1.29918779 0.        ],0,True
16,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
16,9,0.0,100.0,[1.37563433 0.        ],1,False
17,0,21.880757670431922,166.66666666666669,[1.28710339 0.        ],2,True
17,1,20.76195712165705,100.0,[1.2212916 0.       ],1,True
17,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
17,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
17,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
17,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
17,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
17,7,22.086192453659642,33.333333333333336,[1.29918779 0.        ],0,True
17,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
17,9,0.0,100.0,[1.37563433 0.        ],1,False
18,0,23.16786106281027,166.66666666666669,[1.28710339 0.        ],2,True
18,1,21.983248717048642,100.0,[1.2212916 0.       ],1,True
18,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
18,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
18,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
18,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
18,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
18,7,23.385380245051387,33.333333333333336,[1.29918779 0.        ],0,True
18,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
18,9,0.0,100.0,[1.37563433 0.        ],1,False
19,0,24.45496445518862,166.66666666666669,[1.28710339 0.        ],2,True
19,1,23.204540312440233,100.0,[1.2212916 0.       ],1,True
19,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
19,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
19,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
19,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
19,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
19,7,24.68456803644313,33.333333333333336,[1.29918779 0.        ],0,True
19,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
19,9,0.0,100.0,[1.37563433 0.        ],1,False
20,0,25.742067847566968,166.66666666666669,[1.28710339 0.        ],2,True
20,1,24.425831907831824,100.0,[1.2212916 0.       ],1,True
20,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
20,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
20,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
20,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
20,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
20,7,25.983755827834877,33.333333333333336,[1.29918779 0.        ],0,True
20,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
20,9,0.0,100.0,[1.37563433 0.        ],1,False
21,0,27.029171239945317,166.66666666666669,[1.28710339 0.        ],2,True
21,1,25.647123503223415,100.0,[1.2212916 0.       ],1,True
21,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
21,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
21,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
21,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
21,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
21,7,27.28294361922662,33.333333333333336,[1.29918779 0.        ],0,True
21,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
21,9,0.0,100.0,[1.37563433 0.        ],1,False
22,0,28.316274632323665,166.66666666666669,[1.28710339 0.        ],2,True
22,1,26.868415098615007,100.0,[1.2212916 0.       ],1,True
22,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
22,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
22,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
22,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
22,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
22,7,28.582131410618366,33.333333333333336,[1.29918779 0.        ],0,True
22,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
22,9,0.0,100.0,[1.37563433 0.        ],1,False
23,0,29.603378024702014,166.66666666666669,[1.28710339 0.        ],2,True
23,1,28.089706694006598,100.0,[1.2212916 0.       ],1,True
23,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
23,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
23,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
23,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
23,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
23,7,29.88131920201011,33.333333333333336,[1.29918779 0.        ],0,True
23,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
23,9,0.0,100.0,[1.37563433 0.        ],1,False
24,0,30.890481417080363,166.66666666666669,[1.28710339 0.        ],2,True
24,1,29.31099828939819,100.0,[1.2212916 0.       ],1,True
24,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
24,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
24,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
24,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
24,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
24,7,31.180506993401856,33.333333333333336,[1.29918779 0.        ],0,True
24,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
24,9,0.0,100.0,[1.37563433 0.        ],1,False
25,0,32.17758480945871,166.66666666666669,[1.28710339 0.        ],2,True
25,1,30.53228988478978,100.0,[1.2212916 0.       ],1,True
25,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
25,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
25,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
25,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
25,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
25,7,32.4796947847936,33.333333333333336,[1.29918779 0.        ],0,True
25,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
25,9,0.0,100.0,[1.37563433 0.        ],1,False
26,0,33.464688201837056,166.66666666666669,[1.28710339 0.        ],2,True
26,1,31.75358148018137,100.0,[1.2212916 0.       ],1,True
26,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
26,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
26,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
26,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
26,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
26,7,33.778882576185346,33.333333333333336,[1.29918779 0.        ],0,True
26,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
26,9,0.0,100.0,[1.37563433 0.        ],1,False
27,0,34.751791594215405,166.66666666666669,[1.28710339 0.        ],2,True
27,1,32.974873075572965,100.0,[1.2212916 0.       ],1,True
27,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
27,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
27,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
27,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
27,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
27,7,35.07807036757709,33.333333333333336,[1.29918779 0.        ],0,True
27,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
27,9,0.0,100.0,[1.37563433 0.        ],1,False
28,0,36.03889498659375,166.66666666666669,[1.28710339 0.        ],2,True
28,1,34.196164670964556,100.0,[1.2212916 0.       ],1,True
28,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
28,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
